device_id,gender,age,group
-7789505157081731608,1,25,123-26
8240579676061663826,1,42,139+
5439866249778803748,1,35,132-38
-8140024683963050427,1,38,132-38
-360168846769617446,1,38,132-38
4049342567374065020,1,29,129-31
5660846220747791709,0,64,043+
2346793034696706898,1,28,127-28
-4924030293291439654,1,42,139+
1676196645503737870,1,42,139+
4922799967163614958,1,24,123-26
-6571452454273901516,1,46,139+
-2056729718209154009,1,32,132-38
404958689637790744,1,44,139+
6895504244645409122,1,44,139+
-7882183570062087941,1,24,123-26
5446913796434345063,0,46,043+
-3859751359584472885,1,30,129-31
5662094349477792975,0,21,023-
-4650666927489443566,0,21,023-
3804056002627416258,1,29,129-31
-8266281880829904174,1,29,129-31
5973319239886062800,0,28,027-28
202462323314332621,0,28,027-28
7326636766251173655,1,27,127-28
-4144445179725470192,1,21,122-
8907764229603533579,0,23,023-
-5261054643656080753,0,23,023-
3819716873588642183,0,23,023-
4650021665055865662,1,20,122-
-5441393164079058849,0,34,033-42
-8582139297114165642,0,25,024-26
7761134629352961054,1,21,122-
6927671656924395665,1,26,123-26
5984369821078450685,1,26,123-26
2959524852145775517,1,30,129-31
-2114716321141097556,1,30,129-31
699478504411407472,1,27,127-28
-1872001393673636989,0,26,024-26
-4872982505937593114,1,39,139+
-4430857349056469253,0,20,023-
-5340398384027830118,0,20,023-
1704840088089510706,1,24,123-26
-4246359349357769983,0,28,027-28
-8165550889984892199,0,28,027-28
4297455138616652485,1,29,129-31
-1747655920783302206,1,27,127-28
2275434704754261644,1,24,123-26
3752341244715056358,1,41,139+
-754365920636902161,0,25,024-26
-5638884600299366389,1,28,127-28
4816687632811889210,0,31,029-32
593669313143296408,0,31,029-32
248228453883119456,0,28,027-28
8561987004157629214,1,30,129-31
-448645680703615976,1,31,129-31
-8887145707214349266,0,28,027-28
-7154614355022595143,0,29,029-32
-5352494765561872354,0,29,029-32
6203757811505041868,0,23,023-
8213642428559590445,0,36,033-42
-8018890275127066945,1,24,123-26
7222366654900852519,0,22,023-
6123790560434642813,1,38,132-38
8369299031756452885,0,36,033-42
-7861418408615064463,0,23,023-
9146497636646056842,1,35,132-38
-2489556190686427591,1,35,132-38
-3274254800053988869,1,33,132-38
-8344622686419295900,1,33,132-38
-7464543035045993775,1,33,132-38
-2999736920417270580,0,22,023-
3190702475320666496,1,29,129-31
6709821453224441026,1,38,132-38
6021983857045701513,0,27,027-28
-6494821234293367565,1,37,132-38
8749724299667578438,1,34,132-38
-3113143023563671753,1,37,132-38
-5028220390242257416,0,27,027-28
-3794473641159391327,0,34,033-42
3141753394038535319,1,41,139+
-4917609465027922615,1,21,122-
-1516688507910543815,0,43,043+
4142956234059879708,0,33,033-42
-4917418725007279484,0,30,029-32
-7516440352534368031,1,31,129-31
6439649945388461116,1,28,127-28
-7348867500610951647,1,31,129-31
-8163914028422841035,1,31,129-31
1603640831768213530,1,28,127-28
-8003284722005509153,1,28,127-28
-5203038592600087183,1,32,132-38
-4810626615146220634,1,32,132-38
8862410784192965428,0,36,033-42
2939637043564785302,0,46,043+
8753601250612921480,0,51,043+
-5116656739499156887,0,51,043+
-7646353414568593628,1,30,129-31
-5189881483734033534,1,46,139+
-4996365611575224625,1,46,139+
-6711641544479668924,1,34,132-38
6206722327442379463,0,31,029-32
3493988831547441804,1,32,132-38
4366005122372201003,1,24,123-26
1386963267590573431,1,24,123-26
-6330378243113796645,1,34,132-38
-7865367115690889902,1,38,132-38
-1858006844990046411,1,31,129-31
-3228486232941564156,0,28,027-28
-5602557068543221619,0,28,027-28
-1451022929123789871,0,28,027-28
7790659424525077194,0,28,027-28
8920285886738674998,1,28,127-28
-4852607865204248032,1,31,129-31
-2426517319208539667,1,31,129-31
-8249736197215467956,1,41,139+
2270921318416256658,1,25,123-26
-1319995297521489561,1,31,129-31
9138019064415706007,0,36,033-42
-7319671561866655769,0,36,033-42
2978253634008558593,1,38,132-38
8061585136093547923,1,38,132-38
-8545729738118500183,1,26,123-26
1474139374992166898,1,22,122-
1601488851299080757,1,33,132-38
8655869457573847114,1,33,132-38
3611992091268251668,0,31,029-32
4192900550916502009,1,27,127-28
7085696727020395428,1,29,129-31
-7040791784866622265,1,39,139+
4329078646062358068,1,35,132-38
3456872842738035793,1,34,132-38
-2966512100134318742,0,30,029-32
2040535522516268215,0,23,023-
-3310045835362138089,0,32,029-32
-4699662670867136082,0,46,043+
-7548291590301750136,1,33,132-38
-7963397998932390299,1,49,139+
-7082232536999173876,1,36,132-38
-6242893361006209354,0,32,029-32
-2415127400609093036,1,27,127-28
2894174233476843291,1,21,122-
2977628559549884847,1,32,132-38
-2657430017797696536,1,32,132-38
4497817510933031170,1,32,132-38
2460194575250181595,1,53,139+
-5872355609156227199,0,39,033-42
8069018087348622619,1,53,139+
4948898765850983971,1,53,139+
3147394884766951836,1,53,139+
80935662153622052,1,53,139+
-7945392883263043020,1,59,139+
7021855019699124523,0,25,024-26
-766118996225706089,0,45,043+
-900650310696232044,0,30,029-32
-8762995520315894664,1,28,127-28
5421267314514963969,1,28,127-28
-529046212852150867,1,28,127-28
-1895509578144570493,1,31,129-31
-2478156885124026620,0,24,024-26
-7279624854596091363,1,42,139+
5692610091528369777,1,48,139+
6562806239947577010,1,50,139+
-7306135389406963510,1,43,139+
5702872234734716353,1,32,132-38
6488610263167172153,1,46,139+
-3529774277648147974,1,38,132-38
-6000733973296812644,1,24,123-26
2350979402202438478,1,47,139+
-621174912844602038,1,34,132-38
-4153865198013987891,1,70,139+
9219479903879163716,0,27,027-28
-2389013266016611875,1,27,127-28
6565337312089151336,0,32,029-32
6281195034868006293,0,39,033-42
-6065952695936634687,1,21,122-
6391503609295653806,0,24,024-26
-3227288379325915241,1,35,132-38
9123392963738377798,1,32,132-38
-1938435110960608198,1,21,122-
5636743222462110847,1,27,127-28
1540134249071138179,0,67,043+
2844534599979001280,1,33,132-38
6327103640181623607,1,30,129-31
7507270603885968883,1,48,139+
-565124306076115432,1,48,139+
4419526128131778535,0,44,043+
-5284404864046190914,0,44,043+
2060749851566670252,0,44,043+
-8593265039555205241,1,34,132-38
-6141801790803850097,0,36,033-42
-6492462980844783230,1,24,123-26
6775652294837141141,0,24,024-26
4258636597181710806,0,30,029-32
3235635318498361849,1,32,132-38
3163787231116816284,1,33,132-38
2824416853940964538,1,19,122-
-4249929128118593776,1,37,132-38
6783516722606734308,0,29,029-32
-2777441777805531461,0,29,029-32
-5693154089237308179,0,29,029-32
-225262823313738339,0,29,029-32
2724015352885630840,0,29,029-32
-8448590394900141907,1,27,127-28
338283462287728873,1,26,123-26
4704542779027368284,1,33,132-38
1975516998960925196,0,30,029-32
7116779436642135828,1,29,129-31
8543316339499766821,0,33,033-42
6823319585575058469,1,50,139+
583157140721431142,0,34,033-42
72999436528877253,0,34,033-42
7244527048146468873,0,31,029-32
-7799207332505443834,1,31,129-31
-4555256352171659738,0,22,023-
9022373770725490123,0,22,023-
1714287570154592293,0,48,043+
-2141028849447517652,1,52,139+
-3007290059075922008,0,31,029-32
6677898008001741134,0,31,029-32
2130490974990662039,1,25,123-26
-1791818818985507554,1,25,123-26
8724849398259744677,0,27,027-28
-2135911353025150071,1,26,123-26
-5977779196775749873,1,41,139+
-9134556132023507861,0,29,029-32
-49730763913378432,1,31,129-31
1459080085082043728,1,31,129-31
7050857104490950917,1,34,132-38
-5401753062424811373,1,51,139+
3604511296492842086,1,32,132-38
-3226520822719883647,1,27,127-28
-2094691511186450567,1,22,122-
-4466935442609903897,1,32,132-38
-6785716032312317966,1,38,132-38
3500307892205027190,0,33,033-42
-1117454837751951991,1,35,132-38
8118936935913363277,1,25,123-26
-1357401245479679056,0,39,033-42
-318708851494203604,0,38,033-42
7610335843466648867,1,24,123-26
2320542621284956663,1,24,123-26
6348079742918185023,1,24,123-26
1444928900010815808,1,39,139+
3744909594455282523,1,46,139+
5255430446391714185,1,27,127-28
-7650841846815498584,1,26,123-26
-6797960682712450133,1,30,129-31
-8146966056838942606,1,25,123-26
-9153245537488288364,1,25,123-26
-360233945138979577,0,39,033-42
1663389245555042663,1,27,127-28
5805575799056444427,1,42,139+
6448757979883417999,1,36,132-38
-954680535608637556,0,24,024-26
3654345234677910057,0,24,024-26
7562411939803512882,0,45,043+
-2874573589030714776,0,26,024-26
-6652140857336427673,1,31,129-31
-3174514444476368200,0,29,029-32
8972321560616453482,1,35,132-38
-4935335315811963318,1,35,132-38
8276999935602524746,1,39,139+
3402994260166624775,0,32,029-32
5108142823291112751,1,45,139+
3471451329225031495,1,31,129-31
-6791581020624214971,0,29,029-32
-2094586929577583000,1,29,129-31
-2683545177557247024,0,47,043+
-4214293157750794619,1,29,129-31
1459738584733677563,1,29,129-31
1469006017306955518,1,24,123-26
5297854804165140682,0,45,043+
7231270196225939131,1,22,122-
700830215931679317,1,25,123-26
-637891494492896017,1,25,123-26
8668918402869143275,0,28,027-28
1888521065893978058,0,28,027-28
2825141601023672167,0,42,033-42
4449470138586525722,0,30,029-32
-8366131750644256209,1,22,122-
-3534551426935880265,0,47,043+
1502461605760473195,0,44,043+
-4771881468336909132,1,40,139+
-5685117998885564353,1,36,132-38
8161044391542216225,1,52,139+
-4198791070540130017,1,37,132-38
-8475312114246077271,1,37,132-38
1319324274909532362,0,29,029-32
-1177635519148501584,0,29,029-32
4189762977638537239,0,29,029-32
-3077937920672001811,0,28,027-28
-3244096424715237105,0,28,027-28
-4671788193261470496,0,28,027-28
113979950782839877,1,30,129-31
503143391156241086,1,30,129-31
-6042908553950254235,1,27,127-28
-345871495580169903,1,35,132-38
9106723912388896801,1,29,129-31
7284031010300954848,0,37,033-42
4032612108650097762,1,32,132-38
8352592309255706786,1,34,132-38
7705384213380232481,1,33,132-38
1123870157669170491,1,27,127-28
7921733448240571356,1,42,139+
2399914927947537397,1,42,139+
6277401130315436930,1,26,123-26
5441095450799834215,1,30,129-31
-4005849076109412284,1,63,139+
-179790220800402751,1,26,123-26
7866598770427892860,1,35,132-38
-5493563917628184466,1,29,129-31
9203006693435653275,1,27,127-28
2355041056604318522,1,38,132-38
1411171847723420780,1,25,123-26
-6985934243613826863,1,34,132-38
7352701797930096128,0,27,027-28
8848742706511928763,1,30,129-31
-6583823906225667083,1,21,122-
-7771398025617818409,1,21,122-
-7691879765552453435,1,35,132-38
2464684863257435773,1,35,132-38
6604280119591140661,1,42,139+
-20667435396379759,1,30,129-31
5581064628061795937,1,29,129-31
-8587610512543135636,0,27,027-28
5413704986152654312,1,45,139+
3504563730603386282,0,60,043+
6863112459383289362,1,33,132-38
3675909796369127445,1,33,132-38
-5317745724179407738,1,37,132-38
6423288831466633660,1,27,127-28
8312667491634467650,1,26,123-26
-8164663270002147627,0,34,033-42
-1759997501338681850,1,26,123-26
3036600127070433664,1,38,132-38
3603255247253715956,0,42,033-42
-6294981216321531814,0,48,043+
-167571000635525578,1,39,139+
-1045655858343636006,0,27,027-28
1255915588387999803,1,47,139+
-9211636527106625314,1,31,129-31
6140506024248427109,0,22,023-
3679272092861009086,1,29,129-31
1187259603731284031,1,29,129-31
-655444116637802254,1,47,139+
2510851418746740937,1,36,132-38
-7702849433553367406,1,24,123-26
-7344170352548055641,1,24,123-26
-1176968711259010606,1,29,129-31
6427638870670310680,1,20,122-
-4277494943660351916,1,47,139+
-2213794781340645248,0,33,033-42
5112375494822102110,1,46,139+
-4597930075539490849,1,46,139+
-2176202895717029268,1,30,129-31
-4837437557348002889,1,35,132-38
678054189899995599,1,35,132-38
3634584596342582895,1,27,127-28
6242045993734232436,1,61,139+
7497850677598683461,0,23,023-
-3641970131210381534,1,33,132-38
8522618421597953014,1,28,127-28
-6018160454764528851,0,39,033-42
6788691223026392889,1,29,129-31
5785252018416191581,1,35,132-38
-6739684703749059557,1,43,139+
-5066301088967309406,1,23,123-26
-3352337094847398864,1,21,122-
3050020885746905033,1,21,122-
7464518683724727658,0,33,033-42
4977791024608210667,1,31,129-31
6824596868855223630,1,44,139+
-7044168722752090349,1,20,122-
3344241795823208895,1,24,123-26
6703232543519770914,0,60,043+
589557985088430288,0,35,033-42
8946598892027654292,0,29,029-32
-7083853366829402397,1,29,129-31
-2001567280649176448,1,29,129-31
646307682968211609,1,24,123-26
-4986392845443402625,0,33,033-42
-5487152191347785398,0,44,043+
2662126988550136306,0,78,043+
-6630551694025657184,0,29,029-32
7958696823479453960,0,29,029-32
9047713447193243097,1,24,123-26
-4307993308323975261,1,28,127-28
5861119094982137442,1,31,129-31
-4377371438971174786,1,31,129-31
-4374356101743562672,1,31,129-31
1442070159850622197,1,29,129-31
1352886169581418887,1,35,132-38
-1940964897031620305,1,27,127-28
6019832031671410230,1,24,123-26
2048082274046894024,1,24,123-26
-6032484110824395920,1,24,123-26
-1582252749329288852,1,23,123-26
6655529407431740036,1,31,129-31
-1474792823754483907,1,30,129-31
1029904277495989007,1,30,129-31
720756603628213494,1,27,127-28
6310961650826747907,0,27,027-28
2407358055337822629,1,27,127-28
-4217973406658219504,1,47,139+
-5179541163565136976,1,45,139+
-4551768034596689389,1,39,139+
6356675767217309603,1,24,123-26
6008495818349839326,1,32,132-38
-2790183384476760306,1,37,132-38
9149103074456470249,1,30,129-31
1695761527019641539,1,34,132-38
-5383319989100702684,1,34,132-38
-8386606593312868092,1,29,129-31
4889327164992412585,1,29,129-31
-6153673241974140087,1,41,139+
-2037634822852281255,1,38,132-38
-7096688265900000579,1,26,123-26
-8679605999382303581,1,56,139+
-1983931105460838223,1,39,139+
-3846422794537928556,1,37,132-38
-7120133646302952092,1,40,139+
4573555264680860597,1,38,132-38
-9080632005894836087,1,21,122-
5239934703976628317,1,38,132-38
-4093873478471274301,1,26,123-26
-3808211154648602735,1,28,127-28
-3528523897959651909,1,39,139+
-5920211050759233549,1,39,139+
-5177331251703379618,1,32,132-38
291962812379126626,1,32,132-38
-3861862675756404953,1,32,132-38
8353740206445735179,1,23,123-26
1163952773185536842,0,39,033-42
-873214840155221503,1,35,132-38
-6058512568653763470,0,35,033-42
-6868379650375898437,1,26,123-26
-2330036225904384801,0,25,024-26
1822607312031879171,1,35,132-38
3288693535742394934,1,26,123-26
3439985609749922150,1,39,139+
-1688527666462535726,1,44,139+
-2828331636363738843,1,44,139+
-602351730740783793,1,44,139+
1325987205615111172,1,44,139+
-2802543599440680842,1,38,132-38
6090310796599938899,1,27,127-28
-5514406392341151487,0,27,027-28
3796280135236396817,0,22,023-
332380340265563941,0,37,033-42
7123479605708697395,0,37,033-42
6026687977234910115,0,37,033-42
4505562063265677513,0,37,033-42
4981382137382970454,1,34,132-38
-236963596009956963,1,25,123-26
-229180280378644612,0,31,029-32
812521723479166670,1,29,129-31
4530013951351880954,0,42,033-42
1318303222997853851,0,33,033-42
5031308204970224592,1,24,123-26
7576677397230418334,1,24,123-26
7552099237693808316,1,23,123-26
1119943039459733860,1,32,132-38
8780875081637886518,1,36,132-38
1043546028888154415,1,29,129-31
-8295193153214873881,1,31,129-31
1874308258075089641,1,33,132-38
-184400817050772603,1,26,123-26
-7603777855807306454,1,32,132-38
-5181402337880396912,1,50,139+
8134709830571845726,1,28,127-28
-7065078100475716045,1,27,127-28
552498749193063741,0,22,023-
8761770737926125955,0,22,023-
-4844946365893487136,1,32,132-38
-5000507903395027839,1,36,132-38
-244415756622179948,0,45,043+
-3086495925588504008,1,25,123-26
4690577651905751454,1,26,123-26
1895275241111410061,1,29,129-31
4978373534460377887,1,45,139+
2973015864073168250,0,27,027-28
2080579331913165589,0,43,043+
8720083342483823841,1,27,127-28
2389384819016317481,1,28,127-28
-5611722417377626845,1,38,132-38
-557453964647696216,1,37,132-38
5980555560479015572,1,28,127-28
2772316738047304946,0,33,033-42
-6233661495000219593,1,35,132-38
8336875548926735477,1,39,139+
-280792878984386324,1,27,127-28
-8665947049306807542,1,28,127-28
-4545977437136433255,1,28,127-28
-8382006046590136079,1,65,139+
-5693598844768112670,0,38,033-42
1294088097492388254,1,29,129-31
-8556957033165979792,1,33,132-38
4603814831359865578,0,27,027-28
-2441997096530002111,0,25,024-26
-6877287750680911522,1,27,127-28
5993353186365951031,1,35,132-38
-429243268324577775,1,33,132-38
8068167578165647993,0,21,023-
-476136805185072151,0,24,024-26
2239743897399916630,0,24,024-26
-6352016173918609049,0,24,024-26
-1225265882896385622,1,26,123-26
6103442463969172338,0,24,024-26
6607167843813496848,1,23,123-26
7567769845262808695,0,27,027-28
-6575679788532858282,1,22,122-
-8373775120252184104,0,28,027-28
-3060960912794428756,0,32,029-32
-2263386497719973834,0,25,024-26
2425712196469098015,1,37,132-38
5819828849011388017,1,29,129-31
-4303306460426303766,1,31,129-31
-3151287449207977360,0,28,027-28
-6908175429289823652,0,24,024-26
7283212553045812974,1,48,139+
3455329865379031063,0,23,023-
8122538296654843910,0,23,023-
6545829736541135762,0,32,029-32
-1352971490438520298,1,58,139+
1830977800029584826,1,23,123-26
7589944181455401696,1,31,129-31
-4562868606216655042,1,23,123-26
-8267593724208020595,1,22,122-
-4462949239456847644,0,33,033-42
8139979595744739956,1,31,129-31
4489130943120478197,1,33,132-38
7855796739862822440,1,33,132-38
-7232119701913724901,1,35,132-38
2916492334541429963,1,21,122-
-8556224142279945015,1,26,123-26
8212624264342837651,0,46,043+
5746873171138935874,1,22,122-
-1889033480958016238,0,42,033-42
2195335594844094753,0,42,033-42
3307527014822292766,0,26,024-26
-7994663434773874663,1,26,123-26
4474091956427439415,0,21,023-
-4100601935100144456,1,20,122-
-8345182684710435434,0,28,027-28
4919779603258636370,1,30,129-31
-1954607149185073844,1,31,129-31
1756263286013259682,0,25,024-26
9207787349472356557,0,25,024-26
5688826388913067086,0,24,024-26
3934934395617094031,1,30,129-31
1356097039154028040,0,24,024-26
6239423502551981723,0,48,043+
-6188687531249685859,1,29,129-31
-5762038527485744367,1,22,122-
9184963992247652631,1,28,127-28
-7052719623154709360,1,25,123-26
5497917570934923139,1,25,123-26
5199501260865897629,1,22,122-
4817078779940161981,1,22,122-
-51750163801907850,0,22,023-
1111484923755793372,0,22,023-
4100316791460108477,1,20,122-
-1891588492640041559,0,26,024-26
6531672631308745261,1,43,139+
7766418226696443142,1,26,123-26
3821765784939856800,1,23,123-26
8427667165276516409,1,34,132-38
-5424968430956426798,0,24,024-26
-7324369287810342925,1,23,123-26
-1686327245264629942,1,42,139+
-920676380266502164,0,22,023-
-3132167788374472541,1,26,123-26
2566965360077727779,0,24,024-26
6341873412278035467,0,29,029-32
283151695342775598,0,29,029-32
-2405582520624040607,0,29,029-32
6452262489405534657,0,24,024-26
-3654173299440079718,0,24,024-26
-5533049833247758243,1,21,122-
8567125034063848708,0,25,024-26
3129094543007770603,0,20,023-
8802247658835316864,0,27,027-28
-6896857513293590628,0,27,027-28
7099572251426077823,0,21,023-
4169579345658395579,1,21,122-
-320934505147790930,1,21,122-
-3711568206807815381,0,30,029-32
-2514012772375917529,1,39,139+
4360315587716027479,1,20,122-
-7783426489126424162,1,20,122-
6901454746287513697,1,20,122-
991137519522277857,1,20,122-
2816058300929426287,1,20,122-
-7284154769153384474,1,20,122-
72619722599122472,1,20,122-
-1633084237568254787,0,22,023-
266598286759225880,1,29,129-31
-6403572455003976570,1,35,132-38
7504679594395103702,1,36,132-38
4789204688675568150,1,29,129-31
-2726030791460218136,0,22,023-
-6777739487963556282,1,23,123-26
8429238081983048014,1,41,139+
7105286326770848100,0,30,029-32
7825425485977209626,0,30,029-32
-5462293806292385274,1,21,122-
-1847317782088679119,1,20,122-
5615244592642498159,1,20,122-
4871684940984050877,0,34,033-42
8497952435614723307,0,34,033-42
3608732192276702589,1,26,123-26
8512805238634502234,1,21,122-
-1562096238246403266,1,26,123-26
-3164037806420057128,0,21,023-
-3430460284808041981,1,29,129-31
4782818509742237099,1,34,132-38
-2801576702987903744,1,34,132-38
8525424737557216450,1,22,122-
4899921266881369610,1,22,122-
8336949864011006855,0,36,033-42
-5600730878380485214,0,31,029-32
-2470383375942730835,0,31,029-32
8737555301670840212,1,19,122-
-2289980470972914582,1,23,123-26
8249445891956836787,1,23,123-26
6162372511985048741,1,23,123-26
-3282973596598697750,1,34,132-38
-8263208485823447044,1,27,127-28
-9177698159910455532,0,32,029-32
5203430653181720743,1,17,122-
356520478854373064,0,25,024-26
7678236292142484082,0,27,027-28
492533159890295341,0,21,023-
-4893865424406334764,0,32,029-32
-6864731714065740021,0,21,023-
-22473684698194950,1,17,122-
473071926003296712,1,19,122-
-5729489580637816452,0,19,023-
-7345618372322051389,0,19,023-
1208777562949892492,0,31,029-32
385823142853736548,0,31,029-32
-4735382375325691891,1,22,122-
-4417546389678328866,0,21,023-
-295437681750492352,1,20,122-
1557837677453886064,0,27,027-28
8325412457274125679,0,27,027-28
989663811919883179,1,29,129-31
8283059944440954104,1,29,129-31
-4950499031450221003,1,29,129-31
8659293525381562711,1,21,122-
5491270369830480293,0,45,043+
2877482175246871880,1,20,122-
-2451484506636622166,1,24,123-26
3099930789019940676,1,29,129-31
-5316473273801260378,0,20,023-
-6072435932733730305,1,26,123-26
1244924161226799900,1,26,123-26
-8170146072812130676,0,22,023-
7837307528716148320,0,22,023-
-1356902156255252339,0,20,023-
-3898045713019773074,1,23,123-26
-3307135362322431632,1,23,123-26
4057329207163324453,0,22,023-
-1315678062659181276,0,29,029-32
6680563250977345388,1,19,122-
7469255792590954984,0,23,023-
-1668558797524371503,0,29,029-32
-797597256965011700,0,24,024-26
-333661782897496896,0,24,024-26
-3216501563050439320,0,24,024-26
-1526622617359361955,0,45,043+
7491319753979859549,1,22,122-
1228607175978508824,1,23,123-26
-8519318732470795928,0,42,033-42
7651091592968734555,0,42,033-42
8556982416315216185,1,24,123-26
5953817662862883781,1,24,123-26
7781851798734733403,1,24,123-26
-5642148977702922033,1,24,123-26
-6629944130878284064,1,24,123-26
4689994512548055605,0,27,027-28
-1727737396078297139,0,30,029-32
-6381794413390699399,0,19,023-
7729148314349457415,0,21,023-
-1843450627111946877,1,21,122-
-212191571026065176,1,21,122-
-7204440477456772063,1,20,122-
-3293430962013612634,1,25,123-26
-1701191455664527266,1,25,123-26
-9008782116598554138,1,23,123-26
-9170975645986902037,1,23,123-26
-3222540460345564171,1,28,127-28
-6527390788320723217,1,21,122-
-1012430198114507471,1,21,122-
-5926113374593677418,1,29,129-31
-2514431717601449853,1,29,129-31
7853842154200083534,0,28,027-28
3812807856177764023,1,23,123-26
-5238266931153652068,1,21,122-
-5175023799434636793,0,31,029-32
-2506093401230353546,0,20,023-
2266863185840545980,1,27,127-28
-3927753740422355517,0,29,029-32
6038400330950356320,0,22,023-
-4861923574095466489,0,34,033-42
5225546985734145250,1,30,129-31
5087686479453039142,1,22,122-
-3199904022391181984,1,22,122-
-9015902738711771328,1,22,122-
-6500915528694486429,1,23,123-26
-8657137191584682458,1,22,122-
8680799468292419721,0,25,024-26
8597136060207936321,1,31,129-31
8507377938081140935,0,24,024-26
-6962276291057399691,1,21,122-
-7315337515783864482,1,21,122-
-8480612723734037982,1,40,139+
7132583961483928399,1,38,132-38
6494711304418137334,1,20,122-
-8708762219718085185,1,20,122-
3499681829978537553,1,23,123-26
-1937027962234299179,0,38,033-42
2287449004006642352,0,28,027-28
5090980568587832805,0,28,027-28
5132236745990365339,0,28,027-28
-4948056472678477615,1,36,132-38
-3620183035368751296,0,21,023-
-80890961266952041,0,25,024-26
7344017656613380338,0,24,024-26
4044377088870916300,0,16,023-
1478614427793108417,0,23,023-
5286209527709504485,1,20,122-
-7603156713792745674,1,22,122-
-8948604730896689003,1,26,123-26
-6159616074389647926,0,29,029-32
-6944850403989407181,1,25,123-26
-4289910579121086844,0,28,027-28
5045172159000923818,0,28,027-28
5538639933330181335,1,25,123-26
-7617685151173348252,0,22,023-
-2703315791470163138,0,36,033-42
-4635718885908872270,1,21,122-
-6277045911754478960,0,22,023-
292388422999124365,1,29,129-31
183994177412136222,0,47,043+
-392191544517964989,0,27,027-28
8967027104934729299,0,41,033-42
-3986205498977516561,0,20,023-
4896346405754118344,0,41,033-42
3731254510534814503,0,39,033-42
-4457934313456075144,0,26,024-26
3323224665682418080,1,41,139+
8345589946902328493,1,46,139+
-157906997610294068,1,46,139+
1246754910809577814,1,26,123-26
7850151920423137889,1,28,127-28
-7270983555904380477,1,23,123-26
-2032299682594442979,0,26,024-26
5175529330903576144,1,23,123-26
-2752255137220802139,1,37,132-38
8723726386147496851,1,27,127-28
-9213678250910037656,1,27,127-28
5792318609222075939,1,45,139+
-1653968320381409651,0,29,029-32
-8525062716985904114,1,22,122-
-4403132331924981466,1,34,132-38
-3038253900541182085,0,31,029-32
4465006065399441590,1,20,122-
-3921032175008055462,1,26,123-26
-9108166834413909435,0,20,023-
-5785549517154749158,0,34,033-42
-2117709885776195018,0,23,023-
-4881520045668814888,1,20,122-
-3700092966428543372,1,20,122-
-7263158532285455472,1,20,122-
5702194120117073420,1,20,122-
-6364397269546030788,1,29,129-31
-9074342826934852586,0,27,027-28
2450659143939398183,0,30,029-32
4238217942089411968,1,28,127-28
-7360919511180965094,0,22,023-
4002089199864991468,1,36,132-38
4292022177175958327,1,19,122-
6393160991781673944,1,24,123-26
795012645021250899,1,34,132-38
-6915154084504417426,1,25,123-26
-8489604100420929617,0,22,023-
1289101433025172253,0,22,023-
